descricao;empenhado;liquidado;pago
"14422146111460000";"617.638,60";"429.588,71";"420.999,69"
"14422146111470000";"3.158.074,40";"1.933.106,19";"1.852.863,39"
"14422146180285431";"25.000,00";"25.000,00";"25.000,00"
"14422147012230000";"278.013,27";"238.691,55";"231.438,33"
"14422147012240000";"44.972,06";"18.771,84";"18.771,84"
"14422147012250000";"80.807,03";"67.059,58";"64.554,46"
"14422147012260000";"17.717,82";"8.325,50";"8.039,25"
"14422147012270000";"21.913,73";"18.773,81";"18.773,81"
"14422147012280000";"30.018,92";"28.839,11";"28.839,11"
"14422147012290000";"92.237,37";"43.077,37";"43.077,37"
"14422147012300000";"247.274,52";"48.255,25";"39.641,39"
"14422147012310000";"19.492,22";"9.396,44";"9.396,44"
"14422147012320000";"2.480.279,16";"2.469.129,45";"1.833.420,60"
"14422147012330000";"23.991,72";"11.991,72";"4.118,48"
"14422147012340000";"2.995.487,00";"0,00";"0,00"
